smiles,selectivity
CON(C)C(=O)Cc1ccccc1C,ortho
CON(C)C(=O)Cc1ccccc1C(F)(F)F,ortho
O=C(Cc1ccccc1)Nc1cccc2cccnc12,ortho
CCC(C(=O)Nc1cccc2cccnc12)c1ccccc1,ortho
CC(C)Cc1ccc(C(C)C(=O)Nc2cccc3cccnc23)cc1,ortho
CC(C(=O)Nc1cccc2cccnc12)c1cccc(Cl)c1,ortho
CON(C)C(=O)Cc1cccc(C)c1,ortho
CON(C)C(=O)Cc1ccccc1,ortho
CON(C)C(=O)Cc1ccc(C)cc1,ortho
COc1ccccc1CC(=O)N(C)OC,ortho
CON(C)C(=O)Cc1ccccc1F,ortho
CON(C)C(=O)Cc1cccc(Cl)c1,ortho
CON(C)C(=O)Cc1ccc(C(F)(F)F)cc1,ortho
CON(C)C(=O)Cc1ccc(Cl)cc1Cl,ortho
CON(C)C(=O)c1ccccc1-c1ccccc1,ortho
COC(=O)Cc1ccccc1,ortho
CC(C)OC(=O)Cc1ccccc1,ortho
Cc1ccccc1CC(=O)OC(C)C,ortho
Cc1cccc(CC(=O)OC(C)C)c1,ortho
CCOC(=O)Cc1cc(OC)ccc1OC,ortho
COc1cc(CC(=O)OC(C)C)c(OC)cc1Cl,ortho
CC(=O)Cc1ccccc1,ortho
CCC(=O)Cc1ccccc1,ortho
CC(=O)Cc1ccccc1C,ortho
COc1cccc(CC(C)=O)c1,ortho
COc1ccc(CC(C)=O)cc1OC,ortho
CC(=O)Cc1ccccc1F,ortho
CC(=O)Cc1ccc(Cl)cc1,ortho
CC(=O)Cc1cccc(C(F)(F)F)c1,ortho
CC(=O)CCc1ccccc1,ortho
CC(C)[Si](Cc1ccccc1)(Oc1ccc(-c2ccccc2C#N)cc1)C(C)C,para
CC(C)[Si](Oc1ccc(-c2ccccc2C#N)cc1)(C(C)C)C(c1ccccc1)c1ccccc1,para
Cc1cc(C)c(C)c(C[Si](Oc2ccc(-c3ccccc3C#N)cc2)(C(C)C)C(C)C)c1C,para
Cc1cccc(C)c1C[Si](Oc1ccc(-c2ccccc2C#N)cc1)(C(C)C)C(C)C,para
CC(C)[Si](Cc1cccc(F)c1)(Oc1ccc(-c2ccccc2C#N)cc1)C(C)C,para
CC(C)[Si](Oc1ccc(-c2ccccc2C#N)cc1)(C(C)C)C(C)c1ccccc1,para
CC(C)[Si](Cc1ccc(-c2ccccc2C#N)cc1)(Oc1ccccc1)C(C)C,para
Cc1ccccc1O[Si](Cc1ccc(-c2ccccc2C#N)cc1)(C(C)C)C(C)C,para
CC(C)[Si](Cc1ccc(-c2ccccc2C#N)cc1)(Oc1ccccc1-c1ccccc1)C(C)C,para
